Entity,Code,Year,Alcohol_Use_Disorder,Alcohol_Consumption,Population
Afghanistan,AFG,2016,0.66,0.2,35383000.0
Albania,ALB,2016,1.85,7.5,2886000.0
Algeria,DZA,2016,0.67,0.9,40551000.0
Andorra,AND,2016,1.25,11.3,77000.0
Angola,AGO,2016,1.38,6.4,28842000.0
Antigua and Barbuda,ATG,2016,2.15,7.0,95000.0
Argentina,ARG,2016,1.82,9.8,43508000.0
Armenia,ARM,2016,1.97,5.5,2936000.0
Australia,AUS,2016,1.51,10.6,24263000.0
Austria,AUT,2016,1.86,11.6,8747000.0
Azerbaijan,AZE,2016,2.31,0.8,9736000.0
Bahamas,BHS,2016,2.1,4.4,378000.0
Bahrain,BHR,2016,0.73,1.9,1426000.0
Bangladesh,BGD,2016,1.46,0.0,157976992.0
Barbados,BRB,2016,1.58,9.6,286000.0
Belarus,BLR,2016,5.38,11.2,9446000.0
Belgium,BEL,2016,1.46,12.1,11354000.0
Belize,BLZ,2016,1.78,6.7,368000.0
Benin,BEN,2016,0.99,3.0,10872000.0
Bhutan,BTN,2016,2.37,0.6,737000.0
Bolivia,BOL,2016,1.61,4.8,11032000.0
Bosnia and Herzegovina,BIH,2016,2.84,6.4,3386000.0
Botswana,BWA,2016,1.62,8.4,2160000.0
Brazil,BRA,2016,2.69,7.8,206163008.0
Brunei,BRN,2016,0.79,0.4,420000.0
Bulgaria,BGR,2016,1.83,12.7,7152000.0
Burkina Faso,BFA,2016,1.0,8.2,18646000.0
Burundi,BDI,2016,1.57,7.5,10488000.0
Cambodia,KHM,2016,0.84,6.7,15766000.0
Cameroon,CMR,2016,1.03,8.9,23927000.0
Canada,CAN,2016,1.61,8.9,36383000.0
Cape Verde,CPV,2016,1.01,5.7,531000.0
Central African Republic,CAF,2016,1.41,3.3,4538000.0
Chad,TCD,2016,0.94,1.5,14562000.0
Chile,CHL,2016,2.44,9.3,18209000.0
China,CHN,2016,1.23,7.2,1414049024.0
Colombia,COL,2016,1.76,5.8,48175000.0
Comoros,COM,2016,1.51,0.9,796000.0
Congo,COG,2016,1.45,7.8,4981000.0
Costa Rica,CRI,2016,1.47,4.8,4899000.0
Cote d'Ivoire,CIV,2016,1.01,8.4,23823000.0
Croatia,HRV,2016,2.09,8.9,4209000.0
Cuba,CUB,2016,1.73,6.1,11335000.0
Cyprus,CYP,2016,1.11,10.8,1170000.0
Czech Republic,CZE,2016,2.11,14.4,10619000.0
Democratic Republic of Congo,COD,2016,1.34,2.6,78789000.0
Denmark,DNK,2016,1.75,10.4,5711000.0
Djibouti,DJI,2016,1.59,0.5,929000.0
Dominica,DMA,2016,2.08,8.2,71000.0
Dominican Republic,DOM,2016,1.58,6.9,10398000.0
Ecuador,ECU,2016,1.73,4.4,16491000.0
Egypt,EGY,2016,0.67,0.4,94447000.0
El Salvador,SLV,2016,2.67,3.7,6356000.0
Equatorial Guinea,GNQ,2016,1.48,11.3,1215000.0
Eritrea,ERI,2016,1.74,1.3,3377000.0
Estonia,EST,2016,4.79,11.6,1317000.0
Ethiopia,ETH,2016,1.87,2.8,103603000.0
Fiji,FJI,2016,1.11,3.0,872000.0
Finland,FIN,2016,2.66,10.7,5498000.0
France,FRA,2016,1.44,12.6,64668000.0
Gabon,GAB,2016,1.47,11.5,2008000.0
Gambia,GMB,2016,0.94,3.8,2149000.0
Georgia,GEO,2016,2.08,9.8,4015000.0
